source,target,edge_type,content
7,166,posted_in_thread,I think I can see where the problem is. It is where I am declaring my function
7,167,replied_to,I had that happen to me too. Basically it's just a weird way of saying that you need to make sure to print out your Domain.
7,47,posted_in_channel,Is anyone else having trouble reading queries on the same line?
7,168,posted_in_thread,I figured it that it is actually a problem with my rules I think thanks
7,91,posted_in_channel,I am having trouble clearing out my datalog program between tests. So it passes each bucket when ran invidivdually but not when the tests are run all at once. How can I fix that?
7,169,replied_to,Thank you! The autograder on Github shows an 80 so I should be good.
7,149,posted_in_channel,Is there a TA email?
170,58,posted_in_channel,Are our headers and rows(tuples) supposed to be filled with predicates or strings? Is my datalog object not supposed to have predicates and should I convert the lists to strings?
170,71,posted_in_thread,Thanks!
170,136,posted_in_channel,"I installed python through the video, it didn't work, so then i just installed it through the microsoft store and it worked"
158,29,posted_in_channel,"when you say output, do you mean an additional return object? cause you can also just make it an fsa class variable and add a getter function"
158,58,posted_in_channel,"for input2/answer2, why are there only 3 for the first query? Shouldn't all of them be legitimate?"
158,110,posted_in_channel,I also confused. And on 11b. I can only get R
158,66,replied_to,I also confused. And on 11b. I can only get R
158,164,replied_to,"Under the LS content page, there is a TA help sub page 🙂"
158,149,posted_in_channel,Where can I find TA hours?
97,33,posted_in_thread,\n
97,58,posted_in_channel,eq
97,91,posted_in_channel,Should our dependency graph for 5a have 5 nodes or 9?
97,171,replied_to,Did you get it checked off with a TA as well as just submitting it?
172,58,posted_in_channel,is the autograder up for project 3? I'm not seeing any workflows to run in github classroom
173,110,posted_in_channel,"It may not be so much that the question is unclear, but more so that it's been a week since I've looked at this 😅 . I'm just having troubles even starting because it says to start at vertex A, but vertex A doesn't go to anything. So I think to myself, well this isn't going to be a very interesting forest, it's gonna be more like the odd pots and plants my grandmother has in her kitchen. When compared to the examples in class, the starting vertex pointed somewhere, so just having a hard time figuring out how to work with a starting vertex that doesn't."
65,1,posted_in_channel,"So i've finished the project, but i have 1 problem. My to_string function is returning as a method instead of a string. i'm returning a string in my to_string function. i've even put str() around my to_string return. i can't seem to find out why it's doing what it's doing. Has anyone else had this same problem? When I printed it to the terminal it was working perfect."
65,174,posted_in_thread,"Yeah it's for  the token class. i'm doing for token in tokens: and then token.to_string to grab all the info, but it keeps on returning a method even though i'm returning a string from my to_string"
65,29,posted_in_channel,"I drew up my ID FSA and I noticed that it is quite complicated. It has 21 states in it. There's a lot of arrows and while I know I can program it and get the answer I want, i'm wondering if anyone has (or if it's possible) just to call the schemes, facts, rules, and queries FSAs (without messing up the num_chars_read count -- or could I just call those FSA's first and then call their FSA state)? It would involve a different inheritance structure for the ID FSA and the other 4 FSAs. Does anyone know how I could get this to work?"
65,175,posted_in_thread,"Put what you want the name of it to be in the "" """
65,34,posted_in_thread,I did that and then it says all my autograders are failing
65,176,replied_to,Yeah that's correct
65,47,posted_in_channel,What do we put in the paramater class Is
65,177,posted_in_thread,"the TA slides are more specefic, but you need a value: str and you need an is_id: bool"
65,58,posted_in_channel,"Got a Question:

Does anyone understand where G1 and G2 come from in this database relation? Is it a typo?

With the SNAP database relation the scheme was given:
snap(S, N, A, P)
so it makes sense how this Fact correlates:
snap(''67890','Lucy,'34 Pear Ave','555-5678')

My question is with CSG. The Scheme is:
csg(C, S, G1, G2).
But the Facts don't correlate.
csg('CS 101','12345','A')
csg('EE 200','33333','B')

Is this a typo or am i missing something? Shouldn't there only be one attribute, G, instead of G1 and G2 since in the facts it was given as only 1?"
65,8,replied_to,"Hmmm, based on what I did for project 3 I’m pretty sure that that is a typo. Maybe that has something to do with natural joins but that’s not in project 3"
65,178,posted_in_thread,"i'd go with what <Person> said, but on the projects specs it says:

Your solution must include the following classes: Database, Relation, Header, and Tuple."
65,78,posted_in_channel,Are there going to be TA hours tomorrow morning?
65,105,posted_in_channel,Can we print out the tables on our 8X11 Sheet of paper and then write more stuff on it? or does the whole thing need to be handwritten?
65,106,replied_to,That's fine. It's what I would do
4,1,posted_in_channel,hw 9b qs 2 in person
4,47,posted_in_channel,Do we still have ta today?
4,102,replied_to,"Have you checked the actual website? For me, I don't exactly know what to say because it's hard to tell if anything's happened (I don't exactly understand what's happening in the picture, but a TA probably would) unless you tell me if it's not on the actual website either...."
4,84,replied_to,did you mean to put this in the help queue chat?
4,164,replied_to,wrong queue
4,78,posted_in_channel,project 4 in person
4,91,posted_in_channel,"Does anyone know why I passed all my tests, but I got 0 on autograder?"
4,171,replied_to,"Just to make sure, did you run the bucket command? If you did, check the pull request on GitHub and make sure it isn’t merged, if it is you’ll need to make a new pull request"
179,58,posted_in_channel,"When projecting out duplicated attributes/column names when interpreting queries, alway keep the column names that appear first. For example:
query(T,X,A,X)
Should be projected down to (T,X,A) rather than (T,A,X)"
179,78,posted_in_channel,https://github.com/scamp20
179,110,posted_in_channel,Send an email to cs236ta@cs.byu.edu. We're lenient on formatting issues once per student per semester. Include the correct attachment in the email (not as an heic file).
179,8,replied_to,Send an email to cs236ta@cs.byu.edu. We're lenient on formatting issues once per student per semester. Include the correct attachment in the email (not as an heic file).
179,180,posted_in_thread,"So it is something that we likely will patch, but even if it wasn't patched, it shouldn't affect future labs anyway. So if I were you, I'd just fix your code to handle it for now and not worry about whether we patch it or not.

Is that helpful?"
179,136,posted_in_channel,"For anyone who's already started working on project 0, this command might be better for testing than what was in the written instructions when you read them:

pytest test.py -v --tb=short --bucket=80"
179,145,posted_in_channel,"In order to do the homework due this Wednesday, you will need to understand the slide on precedence from today's lecture. Professor Goodrich will post the slides on learning suite by 3:15pm today."
179,149,posted_in_channel,"Due to the STEM fair today, I won't be holding my office hours today, but will be happy to answer questions if you message me when I'm able to reply"
99,91,posted_in_channel,"Do late points count the same for project 5a (2 points per day), or is Friday night a hard deadline like for homework?"
99,110,posted_in_channel,"For Project 1 (and therefore HW4 part 3), what is the input vocabulary? I don't see this specified in any documentation I can find."
181,29,posted_in_channel,How do I test locally? I’ve tried using pytest test.py —bucket=100 but it says that —bucket=100 is an unrecognized argument
181,182,posted_in_thread,"How do I change my directory? (I’ve googled it, chat gpted, and rewatched the project 0 video and I can’t get it to work) I’m on windows btw"
181,47,posted_in_channel,"I pushed my project to GitHub but there’s no feedback pull request, I think maybe because it’s late? Anyone know how I should submit?"
181,60,replied_to,Up above the TAs said you have to create your own request if it isn't there. I think a quick search in this channel will get you there
183,105,posted_in_channel,how many points was uploading our practice exam worth?
183,169,replied_to,"We do recommend you take the time and read through them carefully, as they will be a great starting point on the projects, ESPECIALLY project 1"
183,136,posted_in_channel,It's just informational. Your grade for the project doens't have anything to do with it
183,184,replied_to,It's just informational. Your grade for the project doens't have anything to do with it
185,136,posted_in_channel,I'm trying to clone the github and i get this when i paste in the what the video tells me to copy and past to clone the repository. Any ideas?
186,6,replied_to,I might be there too!
186,1,posted_in_channel,"According to Learning Suite, it closes at 7pm tonight."
186,96,replied_to,I haven't taken the practice exam yet but I'm planning to take it at 1pm in the TA lab!
186,8,replied_to,maybe it's just sundays that don't count?
186,26,posted_in_thread,"I think you may have a one-use key since I tried to use the link and I got ""invalid download link""."
186,58,posted_in_channel,"Did anyone catch an edge case in Project 2 that wasn't in the tests for Project 2? My Project 2 code passed all the test cases when I submitted it, but when I try to use my Project 2 code in Project 3, it fails. I think there must be an edge case that isn't tested on that I didn't build a solution for. I am going to see what I can find, but in case someone else has already found one, might as well not reinvent the wheel. I'm thinking I have an infinite recursion problem on schemes because my Project 2 code is timing out on Bucket 80, input4 of Project3 Passoff, and when I run my Project 3 code, it says it fails on input4 at the very beginning."
186,73,posted_in_thread,"My parse_scheme_list and parse_scheme don't stop recursing, and as a result, input4 of Bucket 80 fails on token (ID,""SK"",1)."
48,156,replied_to,You do need to commit and push all of your finished files to GitHub before following the pass off instructions
48,29,posted_in_channel,Anyone know if I need to commit and push my code to be checked on github?
48,187,replied_to,https://learningsuite.byu.edu/.CAVr/cid-QU01ke0lYENd/student/pages/id-UF_B this should be the passof instructions
48,47,posted_in_channel,"Schemes:
     #student(N,I,A,M)
   student(N,I,A,M)
     #WhoMajor(N,M)
   WhoMajor(N,M)

There are all these # message in every lines. Is my FSM supposed to be able to skip them when reading it?"
48,188,replied_to,Same issue here
48,189,replied_to,yes
48,91,posted_in_channel,"So，I just saw this message, can I still submit in learning suite and show the TA the time I submitted to receive full credit?"
190,1,posted_in_channel,Anyone know where I can find the zoom link to class today at 2:00pm for Michael Goodrich room 3718 of the HBLL?
190,191,posted_in_thread,"Oh gotcha, that makes sense. thanks"
190,29,posted_in_channel,"In the Jupiter notebook example 
https://github.com/BYU-CS-236/jupyter-notebook-tutorials/blob/main/Finite%20State%20Automata/FSA_Classes.py
I think under the ColonDashFSA function, it should be:
    def s_err(self) -> function:
        #print(""In state s_err. s_err's information is "",self.s_err)
        **next_state: function = self.s_err** # stay in error state on all inputs
        self.num_chars_read += 1
        return next_state

rather than

    def s_err(self) -> function:
        #print(""In state s_err. s_err's information is "",self.s_err)
       ** next_state = self.s_err** # stay in error state on all inputs
        self.num_chars_read += 1
        return next_state

Is this correct?"
190,102,replied_to,"So, S can only go to ""ABe"", as in S --> ABe. So you would represent that first row with just a bunch of ""ABe""s"
190,192,posted_in_thread,"They do essentially the same thing. If the other way works better for you, then great!"
190,193,posted_in_thread,I don't think the style guide would appreciate that... but I could be wrong.
190,47,posted_in_channel,"Looks like we can't use the project2-passoffs for reference. 😆 
Just kidding."
190,194,posted_in_thread,I could probably help you
190,195,posted_in_thread,"I'm not a TA, but I could probably help you with submitting to GitHub"
190,58,posted_in_channel,"Are we allowed to use premade packages for the project (will the auto grader pick it up)? For example, I want to use this premade mutable tuple package."
190,196,posted_in_thread,"Yes, that's a typo"
190,197,posted_in_thread,But I get denied
190,198,posted_in_thread,"Alternative way to not have a trailing comma in the Relations def __str__ function:
                if i < (len(self.header.values) -1): 
                    output_str += "", """
190,78,posted_in_channel,Here's Project 4's overview:
190,8,replied_to,you mean writing the union function?
190,199,posted_in_thread,"Okay cool, I did that too. It's just a matter of calling natural join from within my interpreter class. Here's what I have:"
190,200,posted_in_thread,"Yes, this is what I currently have, but struggling conceptially how to union them."
190,201,posted_in_thread,jk found it. It's  pytest test.py -v -vv --bucket=80
190,202,posted_in_thread,That's what I did to find it actually 😆
190,203,posted_in_thread,"Oof, just saw this. I totally would've helped had I seen this earlier."
190,91,posted_in_channel,I don't have an autograder on my github
190,204,posted_in_thread,"That's odd, it should come with one. Do you have a screen shot?"
190,105,posted_in_channel,"Is that a practice exam, or is that just"
190,205,posted_in_thread,here it is
190,110,posted_in_channel,"I started the homework on Friday and saved it hoping to come back to it later. Upon opening it today, it showed that I had submitted attempt 1, despite me only answering part of the questions.
Will I always have to complete the homework in 1 sitting?"
190,206,replied_to,"Like it says, the square root of a positive n is both n **and** -n. x^(1/2) is the same thing as sqrt(x). This means that if x is 4, f(x) is equal to 2 **and** -2. Functions can map an input only to a single output, and this equation violates that by mapping every input to both a positive and negative output."
190,207,posted_in_thread,You are totally right 🤦
190,208,posted_in_thread,"Thank you, this helps!"
190,135,posted_in_channel,Line in the TA help-queue right now be like
190,209,posted_in_thread,I don't get it
190,136,posted_in_channel,"Helpful tip for cloning, committing, and pushing changes to GitHub is found in this video at 4:26. It's a lot simpler than using the terminal in my opinion. https://youtu.be/M_7pjKFW5fI?si=iS2RIGEoIv0AEHMA&t=266"
210,1,posted_in_channel,Hello
210,78,posted_in_channel,No
156,1,posted_in_channel,LS -> Content -> Projects -> Cheat Sheet
156,211,replied_to,The scc list
156,212,replied_to,LS -> Content -> Projects -> Cheat Sheet
156,213,posted_in_thread,"Yes, I'm here til 4"
156,214,posted_in_thread,Learning Suite -> Content -> TA Help
156,29,posted_in_channel,Say the input string is “ k” I’m pretty
156,215,replied_to,Have you followed the project passoff instructions on Learning Suite > Content > Projects > Passoff?
156,216,posted_in_thread,"Hey <Person>, how did solve this issue?"
156,32,posted_in_thread,"In this case the ID of length 8, Schemess, takes precedence over the Schemes token of length 7."
156,182,posted_in_thread,Make sure you are in your project directory where you are running the cmd
156,217,posted_in_thread,A ':-' token will have a higher precedence than the ':' token because it accepted a length of 2 instead of just 1 for the colon.
156,218,posted_in_thread,"Colon Dash should return True and take care of the "":-"" part of the string in which case just ""k"" is left. In project1, this would be an ID"
156,47,posted_in_channel,"If you do not have a pull request open, you need to open one and close it manually. There are plenty of tutorials online"
156,59,replied_to,Try using .extend() instead of append on rst
156,219,replied_to,The yellows are x and the y is blue
156,220,posted_in_thread,It looks like your program might be printing out the string instead of returning it
156,221,posted_in_thread,Are you sure you're parse_scheme function returns a single Scheme?
156,222,posted_in_thread,What does your pytest output look like?
156,223,posted_in_thread,"Try assigning a copy of a list to your predicates inside of directly. For example, predicate.parameters = self.parameters[:]. Then you can clear your global parameters without clearing the predicate list"
156,224,posted_in_thread,"You could try reversing your if statements to if not self.match. Then if that is statement is true, throw and exception and return out of the function. That would leave the rest of your if statements on the base level of the funciton"
156,12,replied_to,Yes you can just use a dictionary in your code. The keys should be the name of the relations. The hash function is used under the hood by python. So there is no need to ever call the __hash__ method
156,58,posted_in_channel,"If anyone has a problem where adding a row to a relation, adds it to all relations in the database, you are passing the same set variable to all relations in the interpret schemes function when you should be passing unique sets"
156,225,replied_to,Check pinned messages
156,226,replied_to,Check pinned messages
156,227,posted_in_thread,Why do you need to debug that file?
